address,addressPointId,allContainingTractIds,leafTractId,matchStatus,neighborhood,sourceIds,streetNameNormalized,village
31 RESTON WAY    ,52063977,LH-TRACT-15901;LH-TRACT-15813,LH-TRACT-15901,exact_directory_match,Reston 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,RESTON WAY,Flintridge
37 RESTON WAY    ,52063979,LH-TRACT-15901;LH-TRACT-15813,LH-TRACT-15901,exact_directory_match,Reston 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,RESTON WAY,Flintridge
39 RESTON WAY    ,52063980,LH-TRACT-15901;LH-TRACT-15813,LH-TRACT-15901,exact_directory_match,Reston 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,RESTON WAY,Flintridge
34 RESTON WAY    ,52063986,LH-TRACT-15901;LH-TRACT-15813,LH-TRACT-15901,exact_directory_match,Reston 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,RESTON WAY,Flintridge
10 BENNINGTON PATH    ,52064081,LH-TRACT-15905;LH-TRACT-15813,LH-TRACT-15905,exact_directory_match,Belmont Hill 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BENNINGTON PATH,Flintridge
9 BENNINGTON PATH    ,52064083,LH-TRACT-15905;LH-TRACT-15813,LH-TRACT-15905,exact_directory_match,Belmont Hill 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BENNINGTON PATH,Flintridge
5 BENNINGTON PATH    ,52064084,LH-TRACT-15905;LH-TRACT-15813,LH-TRACT-15905,exact_directory_match,Belmont Hill 2,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,BENNINGTON PATH,Flintridge
26 LIVINGSTON PL    ,52064215,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
30 LIVINGSTON PL    ,52064216,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
52 LIVINGSTON PL    ,52064227,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
58 LIVINGSTON PL    ,52064230,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
64 LIVINGSTON PL    ,52064233,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
108 LIVINGSTON PL    ,52064236,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
100 LIVINGSTON PL    ,52064238,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
102 LIVINGSTON PL    ,52064239,LH-TRACT-15915;LH-TRACT-15827,LH-TRACT-15915,exact_directory_match,Westcott 1,LH-SRC-LARMAC-STREETS-2019;LH-SRC-OC-ADDRESS-POINTS;LH-SRC-OC-TRACTS,LIVINGSTON PL,Bridgepark
